concept	facet	property
propeller airplane	usage	agriculture
propeller airplane	material	metal
propeller airplane	used for	recreational
propeller airplane	characteristics	slow to take off
propeller airplane	characteristics	single engine
propeller airplane	range	long
propeller airplane	speed	cruising speed
propeller airplane	usage	transport
propeller airplane	noise level	low
propeller airplane	material	wood
propeller airplane	range	short range
propeller airplane	range	medium range
propeller airplane	usage	transportation
propeller airplane	characteristics	less complex
propeller airplane	characteristics	slow
propeller airplane	speed	low
propeller airplane	characteristics	smaller
propeller airplane	power source	piston
propeller airplane	used for	private transportation
propeller airplane	speed	low to moderate
propeller airplane	usage	agricultural
propeller airplane	uses	small-scale transportation
propeller airplane	speed	around 100-200 mph
propeller airplane	design	open cockpit
propeller airplane	design	low wing
propeller airplane	speed	subsonic
propeller airplane	history	post-war development
propeller airplane	used for	short-distance travel
propeller airplane	propulsion	aircraft engine
propeller airplane	power source	engine
propeller airplane	power source	propeller
propeller airplane	location	airfield
propeller airplane	purpose	transportation
propeller airplane	type	experimental
propeller airplane	used for	personal transportation
propeller airplane	used for	training
propeller airplane	location	airport
propeller airplane	location	hangar
propeller airplane	usage	commercial
propeller airplane	design	fixed wings
propeller airplane	characteristics	simple
pusher tug	found in	sea
pusher tug	design	specialized
pusher tug	usage	in ports
pusher tug	location	port
pusher tug	type	watercraft
pusher tug	features	powerful
pusher tug	components	winch
pusher tug	purpose	towing
pusher tug	purpose	lifting
pusher tug	used for	rescuing
pusher tug	purpose	rescue
pusher tug	features	cabin
pusher tug	usage	in coastal areas
pusher tug	design	robust
pusher tug	features	heavy-duty cables
pusher tug	components	cables
pusher tug	usage	moving barges
pusher tug	components	engines
pusher tug	features	propulsion system
pusher tug	location	ocean
pusher tug	usage	maritime
pusher tug	location	waterway
pusher tug	location	offshore
pusher tug	features	strong propulsion
pusher tug	speed	relatively slow
pusher tug	used for	towing other vessels
pusher tug	used for	harbor
pusher tug	purpose	lifting heavy loads
pusher tug	type of vessel	boat
pusher tug	type of vessel	ship
pusher tug	location	harbor
pusher tug	usage	rescue operations
pusher tug	size	heavy
pusher tug	used for	maritime
pusher tug	type	tugboat
pusher tug	type	ship
pusher tug	found in	shipyard
pusher tug	used for	maritime operations
pusher tug	features	propellers
pusher tug	type	boat
pusher tug	used for	industrial
pusher tug	purpose	pushing
pusher tug	design	sturdy
pusher tug	physical characteristics	strong engine
pusher tug	physical characteristics	large size
pusher tug	functionality	hauling
pusher tug	features	strong engines
pusher tug	features	heavy-duty
pusher tug	type	vessel
pusher tug	operator	marine company
pusher tug	type	marine vessel
pusher tug	used in	waterways
pusher tug	features	engine
pusher tug	characteristics	heavy
pusher tug	purpose	moving
pusher tug	purpose	providing propulsion
pusher tug	used in	maritime industry
pusher tug	features	winches
pusher tug	parts	winch
pusher tug	usage	sea
pusher tug	located at	sea
pusher tug	functionality	providing propulsion
pusher tug	crew	experienced
pusher tug	used for	moving heavy loads
pusher tug	used for	construction
pusher tug	used for	heavy lifting
pusher tug	used for	rescuing vessels
pusher tug	used for	shipping
pusher tug	usage	harbor
pusher tug	usage	port
pusher tug	used in	harbor
pusher tug	features	heavy-duty winch
pusher tug	speed	fast
pusher tug	used for	commercial
pusher tug	used for	maritime transport
pusher tug	used for	salvage
pusher tug	used in	port
pusher tug	features	advanced navigation
pusher tug	characteristics	strong
pusher tug	components	hull
pusher tug	type of vehicle	ship
pusher tug	type	industrial
pusher tug	features	reliable
pusher tug	characteristics	reliable
pusher tug	type	equipment
pusher tug	operator	crew
pusher tug	operator	captain
pusher tug	purpose	assisting
pusher tug	characteristics	large
pusher tug	features	heavy hull
pusher tug	used for	harbor maintenance
pusher tug	used for	rescue operations
pusher tug	components	propulsion
pusher tug	features	strong engine
pusher tug	features	engines
pusher tug	features	multiple engines
pusher tug	associated with	maritime
pusher tug	characteristics	powerful
pusher tug	located at	harbor
pusher tug	used for	assisting ships
pusher tug	used for	rescue
pusher tug	operator	government agency
pusher tug	features	large capacity
pusher tug	purpose	refloating
pusher tug	used in	harbors
pusher tug	function	assist in towing
pusher tug	used in	ports
pusher tug	functionality	pushing
pusher tug	used for	assisting navigation
pusher tug	located at	port
pusher tug	usage	in rivers
pusher tug	size	long
pusher tug	size	large
pusher tug	associated with	industry
pusher tug	features	multiple roles
pusher tug	used for	towing
pusher tug	components	cable
pusher tug	characteristics	heavy-duty
pusher tug	features	large engines
pusher tug	used for	assisting in navigation
pusher tug	features	propeller
pusher tug	crew	skilled
pusher tug	used for	marine construction
pusher tug	components	hulls
pusher tug	parts	hull
pusher tug	features	powerful engines
pusher tug	physical characteristics	heavy weight
pusher tug	characteristics	sturdy
pusher tug	components	propellers
pusher tug	design	strong
pusher tug	size	small
pusher tug	operator	pilot
pusher tug	features	multiple winches
pusher tug	associated with	maritime industry
pusher tug	features	strong
pusher tug	features	strong hull
pusher tug	function	pulling
pusher tug	type of vessel	tugboat
pusher tug	found in	harbor
pusher tug	features	sturdy hull
pusher tug	operated by	experienced captain
pusher tug	operated by	crew
pusher tug	location	ports
pusher tug	function	assisting ships
pusher tug	used for	marine operations
pusher tug	type of vehicle	boat
pusher tug	used for	salvage operations
pusher tug	operated by	marine company
pusher tug	used for	pushing tankers
pusher tug	material	iron
pusher tug	used for	marine salvage
pusher tug	used for	offshore oil operations
pusher tug	operated by	captain
pusher tug	operated by	specialized teams
pusher tug	component	winches
pusher tug	propulsion	mechanical
pusher tug	operated by	pilot
pusher tug	function	mooring
pusher tug	propulsion	engine-powered
pusher tug	operated by	military
pusher tug	used in	maritime
pusher tug	purpose	providing towing services
pusher tug	parts	propeller
pusher tug	function	assistive vessel
pusher tug	used for	harbour operations
pusher tug	function	assist in navigation
pusher tug	used for	moving barges
pusher tug	function	provide propulsion
pusher tug	found in	waterway
pusher tug	function	tugboat
pusher tug	function	assisting vessels
pusher tug	location	harbors
pusher tug	function	assist with docking
pusher tug	purpose	moving heavy loads
pusher tug	purpose	assisting other vessels
pusher tug	operating environment	ocean
pusher tug	used for	harbor operations
pusher tug	material	metal
pusher tug	component	propulsion system
pusher tug	function	assist in docking
pusher tug	function	assisting larger vessels
pusher tug	function	propulsion
pusher tug	found in	port
pusher tug	operating environment	water
pusher tug	used for	navigation
pusher tug	function	providing towing
pusher tug	associated with	waterways
pusher tug	operating environment	harbor
pusher tug	used for	moving
pusher tug	function	pull
pusher tug	function	help in propulsion
pusher tug	used for	towing barges
pusher tug	function	pushing barges
pusher tug	material	steel
pusher tug	used for	anchoring
pusher tug	location	shipyards
pusher tug	used for	lifting
pusher tug	associated with	shipping
pusher tug	function	moving objects
pusher tug	function	towing
pusher tug	used for	pushing
pusher tug	purpose	assisting in docking
pusher tug	function	pushing
pusher tug	used for	ship handling
pusher tug	location	open sea
pusher tug	propulsion	tugboat
pusher tug	function	moving
pusher tug	operated by	shipyard
pusher tug	type of vehicle	marine vessel
pusher tug	function	assisting
pusher tug	features	large propeller
pusher tug	propulsion	motor
pusher tug	features	powerful winches
pusher tug	type	marine equipment
pusher tug	function	providing towing services
pusher tug	usage	shipyard
pusher tug	components	winches
pusher tug	operator	company
pusher tug	location	sea
pusher tug	purpose	assisting larger vessels
pusher tug	features	steerable
pusher tug	operation	manual
pusher tug	operator	government
pusher tug	operation	mechanical
pusher tug	purpose	providing power
pusher tug	function	provide power
pusher tug	operator	ship
pusher tug	used for	moving ships
pusher tug	operated by	experienced captains
pusher tug	features	large size
pusher tug	parts	engine
pusher tug	operated by	trained operators
pusher tug	operation	electrical
pusher tug	parts	cable
pusher tug	function	propelling
pusher tug	purpose	assisting vessels
pusher tug	speed	slow
pusher tug	operated by	port authority
pusher tug	used for	assisting
pusher tug	operated by	maritime companies
pusher tug	propulsion	tractor
pusher tug	usage	assisting ships
pusher tug	propulsion	powered
pusher tug	features	hull
pusher tug	propulsion	engine
pusher tug	purpose	providing support
pusher tug	function	pusher
pusher tug	operator	shipyard
pusher tug	functionality	pulling
pusher tug	type	marine
pusher tug	material	aluminum
pusher tug	operated by	skilled crew
pusher tug	function	push
radar	range	short-range
radar	principle	calculating time of flight
radar	characteristics	real-time updates
radar	function	tracking movement
radar	uses	weather forecasting
radar	function	measures distance
radar	function	locate
radar	range	long
radar	function	detects objects
radar	principle	emitting and receiving waves
radar	applications	aviation
radar	application	naval surveillance
radar	function	weather monitoring
radar	characteristics	processing signals
radar	uses	aviation
radar	uses	air traffic control
radar	function	detect
radar	applications	naval warfare
radar	application	naval warfare
radar	function	measuring speed
radar	application	airport security
radar	application	military
radar	technology	uses radio waves
radar	application	weather forecasting
radar	application	weather monitoring
radar	application	military use
radar	application	aviation
radar	technology	radio waves
radar	application	air traffic control
radar	used for	military surveillance
radar	principle	echo
radar	used for	air traffic control
radar	function	detecting and tracking targets
radar	accuracy	high accuracy
radar	types	secondary
radar	characteristics	real-time data
radar	characteristics	receiving echoes
radar	used for	collision avoidance
radar	function	track
radar	function	warning
radar	principle	radio waves
radar	principle	reflection
radar	principle	frequency
radar	principle	operates on doppler effect
radar	components	antenna
radar	principle	uses reflection of waves
radar	range	short
radar	type	radio
radar	function	detection
radar	used for	tracking targets
radar	function	monitor
radar	principle	emitting and detecting radio waves
radar	function	tracking
radar	types	weather
radar	function	locates targets
radar	function	tracks movement
radar	accuracy	dependent on frequency
radar	function	determines distance and speed
radar	function	detects and tracks objects
radar	uses	weather monitoring
radar	uses	microwaves
radar	function	detecting objects
radar	principle	emitting and receiving radio waves
radar	function	air traffic control
radar	types	airborne
radar	function	weather forecasting
radar	related concepts	sonar
radar	used for	weather monitoring
radar	uses	target detection
radar	characteristics	long-range detection
radar	principle	calculating distance and velocity
radar	function	tracking targets
radar	technology	uses microwaves
radar	used for	naval warfare
radar	characteristics	emitting waves
radar	technology	uses doppler effect
radar	range	long-range detection
radar	similar concept	lidar
radar	similar technology	lidar
radar	similar technology	sonar
radar	measures	direction
radar	type	location
radar	similar to	sonar
radar	operation	receives echoes
radar	applications	air traffic control
radar	similar to	lidar
radar	similar concept	sonar
radar	type	microwave
radar	related concepts	lidar
radar	origin	world war ii
radar	type	detection
radar	used in	navigation
radar	used for	target identification
radar	uses	electromagnetic waves
radar	technology	phased arrays
radar	type	electromagnetic
radar	technology	phased array
radar	used for	weather forecasting
radar	technology	electromagnetic
radar	component	processor
radar	measures	altitude
radar	used in	weather monitoring
radar	purpose	detecting objects
radar	used in	traffic management
radar	types	primary
radar	operation	calculates distance
radar	sonar	uses sound waves
radar	purpose	predicting weather
radar	sonar	works underwater
radar	technology	antennas
radar	sonar	used in submarines
radar	component	receiver
radar	measures	speed
radar	purpose	tracking movement
radar	technology	radio
radar	used in	military
radar	range	medium
radar	uses	military
radar	component	transmitter
radar	component	antenna
radar	uses	radio waves
radar	operation	emits waves
radar	measures	distance
radar	physical characteristics	transmitter
radar	sonar	detects underwater objects
radar	related concepts	laser
radar	function	navigation
radar	characteristics	high accuracy
radar	used in	weather forecasting
radar	range	short-range detection
radar	technology	microwaves
radar	applications	military surveillance
radar	uses	military operations
radar	physical characteristics	receiver
radar	range	long-range
radar	applications	weather monitoring
radar	used for	detecting objects
radar	applications	weather forecasting
radar	type	electronic
radar	components	transmitter
radar	function	measuring distance
radar	technology	microwave
radar	origin	research
radar	components	processor
radar	used in	aviation
radar	components	receiver
radar	technology	antenna
radar	origin	military
radar	physical characteristics	antenna
radar	application	naval
radar facility	equipment	antenna
radar facility	used for	air traffic control
radar facility	technology	uses microwave radiation
radar facility	technology	uses radio waves
radar facility	size	large
radar facility	range	long
radar facility	size	small
radar facility	uses	aviation
radar facility	size	large structure
radar facility	size	mobile unit
radar facility	range	medium range
radar facility	technology	microwaves
radar facility	operational aspects	data analysis
radar facility	range	long-range
radar facility	range	short range
radar facility	characteristics	high accuracy
radar facility	range	regional
radar facility	equipment	computer system
radar facility	technology	computer
radar facility	equipment	transmitter
radar facility	technology	uses radar waves
radar facility	resolution	high-resolution
radar facility	used for	military surveillance
radar facility	operational	weather dependent
radar facility	range	medium-range
radar facility	operational characteristics	real-time data
radar facility	operational characteristics	continuous operation
radar facility	operational characteristics	24/7 monitoring
radar facility	technology	digital signal processing
radar facility	operational characteristics	high accuracy
radar facility	operational conditions	day
radar facility	technology	processing system
radar facility	usage	civilian
radar facility	staff	operators
radar facility	equipment	processors
radar facility	operational conditions	night
radar facility	resolution	low-resolution
radar facility	staff	technicians
radar facility	technology	receiver
radar facility	operational conditions	bad weather
radar facility	use	weather forecasting
radar facility	technology	uses doppler effect
radar facility	used for	weather forecasting
radar facility	technology	computer processing
radar facility	operational aspects	reporting
radar facility	equipment	radomes
radar facility	equipment	radar dish
radar facility	resolution	low
radar facility	uses	national security
radar facility	used for	aircraft tracking
radar facility	equipment	receiver
radar facility	technology	radio waves
radar facility	operational range	regional
radar facility	equipment	antennae
radar facility	technology	computerized system
radar facility	range	global
radar facility	range	local
radar facility	operational	during wartime
radar facility	technology	phased arrays
radar facility	technology	computerized
radar facility	characteristics	real-time data
radar facility	staff	engineers
radar facility	range	medium
radar facility	technology	computers
radar facility	characteristics	long range
radar facility	technology	antennae
radar facility	range	long range
radar facility	equipment	transmitters
radar facility	power	high
radar facility	usage	weather forecasting
radar facility	operational	military controlled
radar facility	operational range	local
radar facility	size	complex
radar facility	range	national
radar facility	operational aspects	24/7 monitoring
radar facility	size	medium
radar facility	technology	uses microwaves
radar facility	uses	military operations
radar facility	uses	weather monitoring
radar facility	range	short-range
radar facility	resolution	medium-resolution
radar facility	resolution	medium
radar facility	operational aspects	continuous operation
radar facility	technology	signal processing
radar facility	usage	air traffic control
radar facility	resolution	high
radar facility	range	short
radar facility	size	portable
radar facility	equipment	radome
radar facility	operational	24/7
radar facility	equipment	processor
radar facility	equipment	receivers
radar facility	size	portable device
radar facility	technology	computer systems
radar facility	power	low
radar facility	size	varies
radar facility	operational range	global
radar facility	located at	space station
radar facility	physical structure	radome
radar facility	components	transmitter
radar facility	used by	military
radar facility	type	mobile
radar facility	location	air
radar facility	components	radome
radar facility	purpose	monitor weather
radar facility	purpose	warning
radar facility	usage	space tracking
radar facility	functionality	alerting
radar facility	purpose	detect aircraft
radar facility	purpose	weather forecasting
radar facility	used by	air traffic control
radar facility	purpose	military surveillance
radar facility	purpose	tracking aircraft
radar facility	purpose	detecting intruders
radar facility	purpose	national security
radar facility	frequency	radio
radar facility	purpose	air traffic control
radar facility	purpose	weather monitoring
radar facility	functionality	prediction
radar facility	accuracy	low
radar facility	function	tracking movement
radar facility	accuracy	high
radar facility	type	airborne
radar facility	locations	airports
radar facility	function	predicting trajectory
radar facility	frequency	high frequency
radar facility	functionality	monitoring
radar facility	function	warning
radar facility	physical structure	large dome
radar facility	applications	aviation
radar facility	location	weather stations
radar facility	physical structure	mobile unit
radar facility	uses	military surveillance
radar facility	purpose	tracking
radar facility	applications	national security
radar facility	used by	law enforcement
radar facility	physical structure	tower
radar facility	functionality	enemy detection
radar facility	components	display
radar facility	components	processor
radar facility	components	antenna
radar facility	types	space-based
radar facility	location	coast
radar facility	types	ground-based
radar facility	location	coastlines
radar facility	components	computer
radar facility	purpose	monitoring
radar facility	used by	weather service
radar facility	components	computer room
radar facility	components	receiver
radar facility	used by	aviation
radar facility	functionality	tracking targets
radar facility	function	monitoring
radar facility	used by	weather forecasting
radar facility	locations	coastal areas
radar facility	applications	weather forecasting
radar facility	frequency	low frequency
radar facility	function	detects aircraft
radar facility	function	monitors weather
radar facility	type	military
radar facility	frequency	microwave
radar facility	purpose	detecting aircraft
radar facility	functionality	weather monitoring
radar facility	purpose	naval detection
radar facility	uses	air traffic control
radar facility	functionality	monitoring weather
radar facility	purpose	detecting and tracking
radar facility	functionality	issuing warnings
radar facility	uses	traffic monitoring
radar facility	functionality	detecting aircraft
radar facility	components	computer system
radar facility	purpose	monitoring air traffic
radar facility	function	tracking
radar facility	frequency	millimeter wave
radar facility	function	predicts weather
radar facility	functionality	air traffic control
radar facility	functionality	tracking
radar facility	function	detects and tracks objects
radar facility	purpose	detecting objects
radar facility	purpose	tracking targets
radar facility	functionality	weather forecasting
radar facility	purpose	monitoring weather
radar facility	function	predicting weather
radar facility	function	monitoring weather
radar facility	type	ground-based
radar facility	function	detection
radar facility	locations	military bases
radar facility	location	space-based
radar facility	type	military surveillance
radar facility	purpose	monitoring traffic
radar facility	type	weather monitoring
radar facility	purpose	tracking weather
radar facility	type	air traffic control
radar facility	functionality	military surveillance
radar facility	application	aviation
radar facility	application	weather monitoring
radar facility	application	national security
radar facility	function	detects and tracks
radar facility	physical structure	tall tower
radar facility	function	supports military operations
radar facility	components	processing unit
radar facility	functionality	detection
radar facility	function	tracking targets
radar facility	function	detecting objects
radar facility	use	air traffic control
radar facility	purpose	scientific research
radar facility	functionality	communication
radar facility	uses	weather forecasting
radar facility	use	military surveillance
radar facility	functionality	warning system
radar facility	purpose	aviation safety
radar facility	function	weather monitoring
radar facility	purpose	tracking enemy
radar facility	applications	air traffic control
radar facility	types	airborne
radar facility	maintenance	software updates
radar facility	used for	weather monitoring
radar facility	operation	automatic scanning
radar facility	location	battlefield
radar facility	operation	manual control
radar facility	operation	24/7 monitoring
radar facility	operation	automatic tracking
radar facility	operation	weather dependent
radar facility	location	mountainous region
radar facility	operation	continuous monitoring
radar facility	operation	manual operation
radar facility	maintenance	regular checks
radar facility	location	mountain top
radar facility	technology	radar equipment
radar facility	operation	automatic
radar facility	security	encryption
radar facility	location	mountainous area
radar facility	security	access control
radar facility	location	desert
radar facility	security	secure facility
radar facility	maintenance	regular maintenance
radar facility	maintenance	calibration
radar facility	maintenance	upgrades
radar facility	location	airports
radar facility	technology	processing unit
radar facility	location	sea
radar facility	functions	control
radar facility	location	forest
radar facility	operation	automated
radar facility	technology	antennas
radar facility	location	land
radar facility	usage	military surveillance
radar facility	location	mountain
radar facility	uses	environmental monitoring
radar facility	location	military bases
radar facility	location	city
radar facility	location	weather station
radar facility	operation	continuous
radar facility	usage	aviation
radar facility	technology	antenna
radar facility	technology	radar waves
radar facility	location	airbase
radar facility	location	military base
radar facility	location	airport
radar facility	location	coastal area
radar facility	operation	24/7
radar facility	location	coastal areas
radar facility	location	airfield
radar facility	located at	weather station
radar facility	location	coastline
radar facility	located at	military base
radar facility	location	airborne
radar facility	applications	military surveillance
radar facility	technology	computer system
radar facility	type	space-based
radar facility	usage	military
radar facility	operation	manual
radar facility	operation	remote controlled
radar facility	functions	warning
radar facility	functions	tracking
radar facility	used for	enemy detection
radar facility	function	detects weather patterns
radar facility	data processing	manual
radar facility	purpose	military use
radar facility	data processing	computer system
radar facility	data processing	computerized
radar facility	data processing	human operator
radar facility	data usage	weather forecasting
radar facility	data usage	military decision making
radar facility	data usage	air traffic control
radar facility	located at	airport
radar facility	physical structure	building
radar facility	maintenance	hardware repairs
radar facility	purpose	track objects
radar facility	data analysis	displaying information
radar facility	components	antenna array
radar facility	data analysis	processing
radar facility	operation	air traffic control
radar facility	data analysis	interpretation
radar facility	functions	detection
radar facility	location	ground-based
radar facility	purpose	detection
radar facility	operation	weather forecasting
radar or sonar	used for	weather monitoring
radar or sonar	function	detection
radar or sonar	function	detecting objects
radar or sonar	application	industrial
radar or sonar	purpose	navigation
radar or sonar	function	detects objects
radar or sonar	application	marine
radar or sonar	function	determines speed
radar or sonar	components	processor
radar or sonar	application	weather monitoring
radar or sonar	application areas	military
radar or sonar	purpose	detection
radar or sonar	applications	autonomous vehicles
radar or sonar	application	aircraft navigation
radar or sonar	function	tracks movement
radar or sonar	types	passive sonar
radar or sonar	type	passive
radar or sonar	application	medical
radar or sonar	application	civilian
radar or sonar	used for	aircraft navigation
radar or sonar	range	long
radar or sonar	purpose	tracking
radar or sonar	applications	naval systems
radar or sonar	range	long-range
radar or sonar	application	hazard detection
radar or sonar	application areas	maritime
radar or sonar	used for	hazard detection
radar or sonar	application areas	aviation
radar or sonar	range	medium-range
radar or sonar	uses	autonomous vehicles
radar or sonar	function	distance
radar or sonar	application	aviation
radar or sonar	application areas	industrial
radar or sonar	components	antenna
radar or sonar	function	speed
radar or sonar	application	navy
radar or sonar	function	speed measurement
radar or sonar	uses	military surveillance
radar or sonar	use	naval warfare
radar or sonar	used for	navigating
radar or sonar	types	active sonar
radar or sonar	applications	industrial quality control
radar or sonar	application	naval
radar or sonar	applications	weather monitoring
radar or sonar	function	navigation
radar or sonar	applications	air traffic control
radar or sonar	applications	military surveillance
radar or sonar	application	military
radar or sonar	applications	marine navigation
radar or sonar	purpose	location
radar or sonar	applications	industrial inspection
radar or sonar	use cases	obstacle detection
radar or sonar	function	tracking
radar or sonar	function	detects speed
radar or sonar	use cases	air traffic control
radar or sonar	use cases	weather forecasting
radar or sonar	function	detects distance
radar or sonar	types	secondary radar
radar or sonar	characteristics	high accuracy
radar or sonar	purpose	locating targets
radar or sonar	functionality	tracking
radar or sonar	application	weather forecasting
radar or sonar	application	air traffic control
radar or sonar	application	naval warfare
radar or sonar	application	medical imaging
radar or sonar	function	measures distance
radar or sonar	components	processing unit
radar or sonar	applications	naval
radar or sonar	functionality	detection
radar or sonar	characteristics	long-range detection
radar or sonar	functionality	location
radar or sonar	use cases	naval surveillance
radar or sonar	function	detects movement
radar or sonar	function	location
radar or sonar	types	primary radar
radar or sonar	function	measuring distance
radar or sonar	components	transmitter
radar or sonar	application	industrial inspection
radar or sonar	application	autonomous vehicles
radar or sonar	use	hunting
radar or sonar	used for	obstacle detection
radar or sonar	components	receiver
radar or sonar	components	computer
radar or sonar	purpose	detecting objects
radar or sonar	applications	naval surveillance
radar or sonar	type	active
radar or sonar	type	electromagnetic
radar or sonar	applications	hazard detection
radar or sonar	technology	radio waves
radar or sonar	applications	aviation
radar or sonar	technology	acoustic waves
radar or sonar	applications	military
radar or sonar	uses	military
radar or sonar	applications	industrial
radar or sonar	range	long distance
radar or sonar	environment	air
radar or sonar	detection method	transmissive
radar or sonar	detection method	reflective
radar or sonar	used for	naval navigation
radar or sonar	resolution	low-resolution
radar or sonar	environment	water
radar or sonar	environment	space
radar or sonar	used for	collision avoidance
radar or sonar	use	underwater navigation
radar or sonar	used in	military
radar or sonar	principle	frequency analysis
radar or sonar	principle	electromagnetic waves
radar or sonar	principle	reflection
radar or sonar	used for	naval surveillance
radar or sonar	principle	bouncing waves off objects
radar or sonar	applications	weather forecasting
radar or sonar	principle	bouncing waves
radar or sonar	applications	naval navigation
radar or sonar	accuracy	precise
radar or sonar	range	short
radar or sonar	used for	aircraft detection
radar or sonar	range	kilometers
radar or sonar	applications	obstacle detection
radar or sonar	resolution	high
radar or sonar	use	medical imaging
radar or sonar	use	navigating
radar or sonar	applications	maritime
radar or sonar	uses	industrial inspection
radar or sonar	type	acoustic
radar or sonar	uses	aircraft
radar or sonar	uses	aviation
radar or sonar	measuring unit	speed
radar or sonar	measuring unit	distance
radar or sonar	measuring unit	angle
radar or sonar	use	detecting objects
radar or sonar	component	transmitter
radar or sonar	used for	quality control
radar or sonar	range	medium
radar or sonar	use	scientific research
radar or sonar	operating principle	sound waves
radar or sonar	component	receiver
radar or sonar	range	short range
radar or sonar	technology	detection
radar or sonar	operating principle	radio waves
radar or sonar	used for	target tracking
radar or sonar	operating frequency	radio frequency
radar or sonar	operating frequency	microwave frequency
radar or sonar	range	meters
radar or sonar	technology	sound waves
radar or sonar	operating frequency	ultrasound frequency
radar or sonar	uses	naval warfare
radar or sonar	resolution	low resolution
radar or sonar	range	long range
radar or sonar	component	processor
radar or sonar	component	antenna
radar or sonar	applications	target detection
radar or sonar	uses	automotive collision avoidance
radar or sonar	uses	aircraft navigation
radar or sonar	accuracy	high accuracy
radar or sonar	use	hazard detection
radar or sonar	purpose	tracking movement
radar or sonar	accuracy	dependent on frequency
radar or sonar	resolution	low
radar or sonar	principle	sound waves
radar or sonar	principle	detect reflections
radar or sonar	technology	electromagnetic waves
radar or sonar	principle	doppler effect
radar or sonar	technology	ultrasound
radar or sonar	resolution	high-resolution
radar or sonar	used in	weather monitoring
radar or sonar	principle	frequency shift
radar or sonar	technology	radio
radar or sonar	accuracy	medium
radar or sonar	principle	echo location
radar or sonar	accuracy	low
radar or sonar	used for	naval warfare
radar or sonar	resolution	high resolution
radar or sonar	used for	detecting obstacles
radar or sonar	used for	air traffic control
radar or sonar	uses	weather forecasting
radar or sonar	used for	weather forecasting
radar or sonar	principle	calculating time delay
radar or sonar	use	military
radar or sonar	use	air traffic control
radar or sonar	uses	air traffic control
radar or sonar	principle	frequency modulation
radar or sonar	used in	aviation
radar or sonar	principle	emitting and receiving signals
radar or sonar	technology	microwave
radar or sonar	uses	civilian
radar or sonar	principle	bounce
radar or sonar	accuracy	dependent on environment
radar or sonar	function	detects and tracks objects
radar or sonar	function	tracking movement
radar or sonar	accuracy	high precision
radar or sonar	range	short-range
radar or sonar	accuracy	low accuracy
radar or sonar	principle	bounce off objects
radar or sonar	principle	echo detection
radar or sonar	range	long-range surveillance
radar or sonar	accuracy	high
radar or sonar	use	weather forecasting
radar or sonar	use	civilian
radar or sonar	uses	navy
radar or sonar	uses	industrial
radar or sonar	principle	echo
radar or sonar	range	medium range
radar or sonar	principle	echoes of waves
radar or sonar	principle	echoes
radar or sonar	purpose	measuring distance
radar or sonar	principle	frequency
radar or sonar	principle	measuring frequency
radar or sonar	purpose	tracking movements
radar or sonar	technology	microwaves
radar or sonar	principle	bounce back
radio navigation beacon	installed at	seaports
radio navigation beacon	installed at	landmarks
radio navigation beacon	installed at	roads
radio navigation beacon	installed at	mountain tops
radio navigation beacon	installed at	highways
radio navigation beacon	location	oceanic routes
radio navigation beacon	location	mountains
radio navigation beacon	receivable by	gps receivers
radio navigation beacon	installation location	aircraft
radio navigation beacon	installed at	mountains
radio navigation beacon	receiver	handheld devices
radio navigation beacon	location	air
radio navigation beacon	installation location	sea
radio navigation beacon	installed at	navaids
radio navigation beacon	installed at	airports
radio navigation beacon	receivable by	aircraft
radio navigation beacon	receiver	vehicles
radio navigation beacon	used for	air traffic control
radio navigation beacon	receivable by	cars
radio navigation beacon	installed at	coastlines
radio navigation beacon	receiver	aircraft
radio navigation beacon	receivable by	ships
radio navigation beacon	used for	maritime navigation
radio navigation beacon	location	on ground
radio navigation beacon	used for	land navigation
radio navigation beacon	location	space
radio navigation beacon	location	landmarks
radio navigation beacon	location	mobile
radio navigation beacon	location	outdoors
radio navigation beacon	location	land
radio navigation beacon	location	cars
radio navigation beacon	location	vehicles
radio navigation beacon	location	air traffic control
radio navigation beacon	range	short range
radio navigation beacon	range	medium range
radio navigation beacon	location	land areas
radio navigation beacon	location	waterways
radio navigation beacon	location	navaids
radio navigation beacon	accuracy	medium
radio navigation beacon	range	hundreds of kilometers
radio navigation beacon	location	space-based
radio navigation beacon	location	airports
radio navigation beacon	location	ships
radio navigation beacon	accuracy	dependent on receiver quality
radio navigation beacon	location	coastlines
radio navigation beacon	used for	marine navigation
radio navigation beacon	location	highways
radio navigation beacon	location	ground-based
radio navigation beacon	location	aircraft
radio navigation beacon	range	local
radio navigation beacon	location	roads
radio navigation beacon	range	regional
radio navigation beacon	range	global
radio navigation beacon	used for	ground navigation
radio navigation beacon	types	dme
radio navigation beacon	location	seaports
radio navigation beacon	location	fixed
radio navigation beacon	types	ndb
radio navigation beacon	types	vor
radio navigation beacon	used for	pilot navigation
radio navigation beacon	location	seas
radio navigation beacon	location	on ship
radio navigation beacon	used for	ground vehicle navigation
radio navigation beacon	used for	approach guidance
radio navigation beacon	application	maritime
radio navigation beacon	installation	space-based
radio navigation beacon	installation	on ground
radio navigation beacon	installation	on airfield
radio navigation beacon	location	on aircraft
radio navigation beacon	installation	on water
radio navigation beacon	installation	ship-based
radio navigation beacon	installation	land-based
radio navigation beacon	application	aviation
radio navigation beacon	application	space exploration
radio navigation beacon	installation location	land
radio navigation beacon	used for	maritime
radio navigation beacon	use	aircraft navigation
