person	flexible, intelligent, social, emotional
clinch	flexible, fast, strong, sudden, secure
clinical psychology	interpersonal, mental health, psychology, therapy, counseling, treatment
clip art	color,animated,vector,digital,image
clock speed	flexible, portable, scientific, time, standardized, consistent, fast
closed circuit	flexible, electrical, temporary, permanent, automated, open, circular, round, interactive
closer	flexible, near, far, distance, distance, proximity, physical
closing	flexible, temporary, permanent, automated, public
closing time	flexible, time-sensitive, limited, public, daytime, day, nighttime, standardized, time-based, location
clothes shop	flexible, local, affordable, shopping, clothing, small
cloud base	flexible, scalable, lightweight, natural, accessible, water
cloud cover	flexible, lightweight, natural, weather, white, computing, water
clout	flexible, influence, power, popularity, wealth
club foot	flexible, treatable, painful, medical, rare, small
club kid	flexible, social, energetic, young
cluster analysis	scalable, complex, automated, machine learning, data-driven, statistical
cluster bomb	flexible, explosive, remote control, multiple, small, large
coal bed	size, type, location, color
coal gas	flexible, solid, combustible, renewable
cocaine	legal, illegal, stimulating, addictive, drug
cocktail party	social, alcoholic, interactive, small, outdoor
cocoa	educational, sweet, healthy, versatile
code enforcement	legal, government, law, community, public
code page	flexible, standardized, international, editable, multiple, digital
code point	flexible, standardized, unique, binary, digital, scalable
code review	flexible, collaborative, open-source, transparent, agile, code, software development, teamwork
code signing	secure, digital, legal, reliable
coffee bar	public, drinks, food, open, serves food, seating, location
coffee break	social, relaxation, refreshment, work
coffee house	social, relaxing, food, drink
coffee machine	flexible, automated, programmable, brews, machine, compact
coffee maker	flexible, automated, programmable, compact, electricity, beverage
coffee pot	flexible, automated, programmable, large, small
coffee shop	public, drinks, food, relaxation
coffee table	flexible, sturdy, decorative, versatile, lightweight
coffin	flexible, wooden, square, small, historical
cohen	flexible, Jewish, male, political, religion
cold	flexible, temperature, temperature, weather, water
cold blood	flexible, immune system, temperature, water, instinct, temperature
cold case	flexible, temporary, hidden, open, case, investigation, storage
cold front	rapid, weather, temperature, weather
cold fusion	flexible, scientific, renewable, efficient, reliable
cold turkey	flexible, nutritious, addictive, temporary, treatable, lightweight, social
cold war	political, historical, international, military
cole	flexible, green, plant, fruit
collar	flexible, wearable, decorative, lightweight, waterproof, protective
collect	flexible, multiple, social, useful
collecting	flexible, social, creative, fun
collection plate	physical, collection, small, communal, payments, religious
collective	scalable, flexible, social, collaborative, global
collective security	flexible, mutual, collective, cooperative, protection
collegiate	flexible, competitive, social, organized, formal, diverse
collins	flexible, refreshing, sweet, fruit
collision course	educational, informative, inevitable, unexpected, sudden, dangerous
color bar	flexible, horizontal, vertical, rectangular, colorful, flat
color charge	light, visible, emits light, has a shape, reflective, transparent
colored	lightweight, transparent, colorful, smooth, bright
colors	educational, creative, emotional, expressive, vibrant, diverse
color television	flexible, lightweight, digital, portable, high-quality, 3D, black, white, technology
color wheel	flexible, circular, geometric, visual, circular, emotional
colour scheme	flexible, lightweight, customizable, consistent, aesthetic, unique
colour television	fast, lightweight, high-quality, large, 3D, audio, video, digital
combat boot	flexible, durable, waterproof, military, fashionable, breathable
combination lock	flexible, portable, durable, digital, mechanical
combine	flexible, multiple, various, simple
come	flexible, temporary, mobile, social, free
comeback	flexible, fast, short, surprise, unexpected, long-term, timely, sudden
comeback kid	flexible, fast, intelligent, young, determined, adaptable
comfort	flexible, relaxing, soft, warm
comfort food	light, warm, emotional, traditional, savory, indulgent, nutritious
comfort zone	flexible, personalized, psychological, social, emotional
comic relief	lightweight, humorous, temporary, entertaining, funny
coming	flexible, temporary, continuous, inevitable, regular, natural
command economy	flexible, decentralized, government, centralized, regulation, control, decision-making, economic
command line	flexible, text, user-friendly, interactive, terminal, graphical, operating system, user-friendly
command pattern	flexible, modular, reusable, contextual, scalable, simple
command performance	flexible, public, teamwork, unique, timely
commissioned officer	legal, military, leadership, training
commitment	flexible, mutual, long-term, reliable, accountable, responsible
commodity market	open, public, tradable, standardization, supply, demand, global, liquidity, price
common	flexible, shared, global, simple, social
common ground	public,shared,mutual,cooperative,reliable,open
communique	fast, private, formal, verbal, written
community card	public, social, shared
community chest	random, collective, helps, social
community ownership	flexible, local, open, collaborative, participatory, public
compact	flexible, small, lightweight, efficient, space-saving, portable
companion animal	social, small, large
company man	flexible, management, teamwork, leadership, communication
company store	flexible, online, local, retail, small
company time	flexible, open-ended, collaborative, time-sensitive, public
comparison shopping	online, price, store, research
compassion	empathy, kindness, love, understanding
compatriot	flexible, fellow, loyal, friendly
compensation	flexible, variable, negotiable, predictable, standard, consistent, financial
competitiveness	flexible, teamwork, cooperation, fairness, ambition, intelligence
completion	flexible, timely, specific, efficient, dependable, cost-effective, measurable, consistent
complex analysis	flexible, mathematical, computational, mathematical, research, analytical
complexity theory	scalability, interoperability, flexibility, algorithm, model, mathematics, systematic, complexity
complex plane	flexible, 2D, realistic, geometric, mathematical, flat
component video	resolution, digital, high-quality, video, resolution
composition book	educational, paper, binding, portable, size
compound bow	flexible, lightweight, handheld, portable, recyclable, adjustable, wood, durable
compound interest	flexible, interest, investment, time, financial, returns, grows
compound sentence	flexible, complex, independent, multiple, simple, short
comprehensive	flexible, inclusive, broad, thorough, extensive, wide
compromise	flexible, mutual, respectful, adaptable
computer chess	games, strategy, artificial intelligence
computer chip	flexible, small, digital, fast, lightweight
computer engineering	flexible, software, hardware, design, engineering
computer literacy	flexible, digital, knowledgeable, technical, user-friendly, technological, technology
computer processor	fast, processing, digital, centralized, small
computer programming	flexible, problem-solving, logical, creative, collaborative
computer security	flexible, digital, software, protective, technology
concentrate	flexible, focused, compact, powerful, intense, small
concept art	art,illustration,graphic,digital,imagination,creative
concept map	visual, hierarchical, colorful, interactive, organized
condemnation	legal, negative, formal, public, official
conditioning	flexible, mental, physical, training, emotional
conference call	communication, audio, video, virtual, online, collaboration, remote
confidence level	flexible, measurable, objective, consistent, reliable
confirmation	flexible, objective, formal, reliable, timely, verbal, written
confirmation name	personal, unique, formal, public, religious, social
confusion	flexible, complex, emotional, temporary, mental
conscience	personal, ethical, emotional, rational
conscience vote	political, decision-making, ethical, legal, socially
consensus	flexible, inclusive, transparent, open, collaborative
consent	legal, voluntary, informed, mutual, respectful
conservation biology	educational, scientific, ecological, environmental, wildlife, research
consist	consistent, reliable, stable, predictable, standard, dependable, uniform
constant	consistent, unchanging, predictable, reliable, stable
constitutional	legal, government, law, political
construction paper	flexible, lightweight, paper, colorful, durable
construction site	flexible, open, outdoor, public, underground, noisy
consulate	legal, government, diplomatic, international
consult	inform, advice, decision-making, collaboration, communication
consultation	flexible, collaborative, open, informative, confidential, formal
contact language	interactive, spoken, written, formal, standardized, localized, communication
contact lens	flexible, lightweight, transparent, medical, wearable, waterproof
content farm	scalable, online, automated, social media, agriculture, content, farming, large
content word	flexible, informative, educational, creative, short
continental	flexible, geographic, vast, land, large
continental divide	geography, land, natural, water
continental philosophy	flexible, interdisciplinary, historical, cultural, political
continue	flexible, ongoing, consistent, steady, permanent, time-sensitive, regular, repetitive
contrary	flexible, opposite, opposing, conflicting, inconsistent, negative, opposite
control chart	real-time, graphic, automation, data analysis, analytics, statistical, monitoring, predictive, management
control group	scientific, random, group, research, experiment, data, independent, small
controlled substance	legal, illegal, regulated, medical, government
control order	flexible, consistent, regulated, organized, hierarchical, time-sensitive, specific
control panel	flexible, user-friendly, automated, interactive, digital
control room	flexible, monitoring, centralized, secure, real-time, automated, large
control theory	flexible, predictable, mathematical, decision-making, scientific, scalable
control tower	fast, tall, monitoring, management, security
convenience	flexible, accessible, fast, affordable, user-friendly, efficient
convenience food	flexible, portable, easy to use, time-sensitive, affordable, nutritious
convenience store	retail, food, local, 24/7, small, affordable, variety
convention state	flexible, public, government, open, legal
conversation piece	interactive, decorative, social, functional
conversion rate	flexible, measurable, convert, conversion, time-sensitive, standardized, consistent
convictions	public, legal, criminal, decision-making, social
cook book	flexible, useful, organized, vegetarian, nutritional, baking, recipes, meals, food
cool	flexible, refreshing, fun, relaxing, creative, unique
cooling tower	size, structure, water, height, type
cooper	flexible, intelligent, social, agile
coordination compound	scientific, chemical, organic, metal, inorganic, colorful, crystalline, magnetic, multiple, small
coordination number	flexible, group, measure, mathematical, specific
cope	flexible, helps, helps, support
cops	responsive, protective, community, law enforcement, community
copy boy	flexible, fast, reliable, creative, teamwork
copy editor	accurate, attention, detail, editor, proofreading, writing
core constituency	flexible, diverse, inclusive, supportive, small
core curriculum	flexible, standard, comprehensive, scalable, consistent
core dump	flexible, compact, lightweight, round, computer, software
core inflation	independent, seasonal, unpredictable, long-term, economic, stable
core temperature	flexible, measurable, medical, temperature
cork	flexible, lightweight, durable, natural
corn dog	flexible, crunchy, hot, savory, sweet
corner flag	flexible, lightweight, round, decorative, geometric, pointy, flat
corner kick	flexible, round, outdoor, teamwork, small
corner office	private, spacious, formal, modern
corner shop	location, small, community, neighborhood, local, history
corner store	convenient, small, local, community
corn exchange	flexible, public, tradable, local, farming, indoor, community
corn oil	flexible, edible, non-toxic, carrier, cooking, lightweight, versatile
corporations	legal, government, organization, limited liability, business, global
correction officer	professional, training, community, security
correspondence	flexible, reliable, real-time, formal, education, communication
corresponding	flexible, consistent, unique, consistent, reliable, timely
costa	flexible, lightweight, brown, smooth, natural
cost cutting	flexible, efficient, budgeting, budget, financial, management
costing	flexible, budgeting, financial, investment, management
costume drama	d,d,historical,romance,theater,traditional,dress,dramatic,fictional,action
costume party	flexible, social, cultural, colorful, fashionable, historical
cottage hospital	small, medical, residential, rural
cottage industry	flexible, small, local, traditional, sustainable
council estate	public,residential,outdoor,community,affordable,government,income,location
council house	flexible, affordable, community, local, residential, social
council tax	tax, local, government, property
counter	flexible, weight, measurement, countable, digital, can be used for various purposes, can be found in different locations, can be used for decoration, can be used for various purposes, can be customized, can be used for recreation, can be used for storage, has a flat surface, can be used for entertainment, can be used for transportation, can be used for work, can be used for decoration, can be made of various materials, can be used for communication, can be used for therapy, can be used for self-defense, can be used for cooking, can be used for transportation, can be used for creative expression, can be used for scientific purposes, can be used for personal protection, can be used for entertainment, can be used for education, can be used for therapy, can be used for self-defense, can be used for work, has a flat surface, can be used for various purposes, can be used for communication, can be used for recreation, can be used for transportation, can be used for storage, can be used for decoration, can be used for entertainment, can be used for personal protection, can be used for therapy, can be used for work, can be used for travel, can be used for exercise, can be used for medical purposes, can be used for creative expression, can be used for entertainment, can be used for self-defense, can be used for transportation, can be used for education, can be used for various purposes, can be used for communication, can be used for personal protection, can be used for socializing, can be used for recreation, can be used for business, can be used for self-care, can be used for decoration, can be used for therapy, can be used for travel, can be used for transportation, can be used for work, can be used for entertainment, can be used for personal protection, can be used for storage, can be used for education, can be used for home, can be used for various purposes, can be used for communication, can be used for self-defense, can be used for entertainment, can be used for transportation, can be used for travel, can be used for fitness, can be used for personal protection, can be used for therapy, can be used for work, can be used for socializing, can be used for recreation, can be used for decoration, can be used for storage, can be used for education, can be used for entertainment, can be used for self-care, can be used for home, can be used for various purposes, can be used for communication, can be used for personal protection, can be used for transportation, can be used for work, can be used for entertainment, can be used for travel, can be used for therapy, can be used for various purposes, has a flat surface, can be used for different purposes, can be used for self-defense, can be used for transportation, can be used for work, can be used for entertainment, can be used for personal protection, can be used for storage, can be used for home, can be used for various purposes, can be used for communication, can be used for recreation, can be used for self-defense, can be used for education, can be used for decoration, can be used for socializing, can be used for travel, can be used for entertainment, can be used for personal protection, can be used for work, has a flat surface, can be used for various purposes, can be used for communication, can be used for transportation, can be used for storage, can be used for home, can be used for personal protection, can be used for therapy, can be used for entertainment, can be used for fitness, can be used for different purposes, can be used for self-defense, can be used for education, can be used for decoration, can be used for recreation, can be used for storage, can be used for work, can be used for various purposes, can be used for communication, can be used for transportation, can be used for personal protection, can be used for socializing, can be used for travel, can be used for entertainment, can be used for home, can be used for therapy, can be used for work, has a flat surface, can be used for different purposes, can be used for self-defense, can be used for education, can be used for decoration, can be used for storage, can be used for entertainment, can be used for personal protection, can be used for transportation, can be used for work, can be used for various
counter intelligence	flexible, secretive, strategic, legal, political
counterterrorism	legal, government, public, intelligence, military
country code	flexible, international, government, location
country seat	flexible, government, chair, chair, historical, outdoor, location
countryside	open, natural, green, beautiful
country store	local, community, small, retail, variety
county fair	public,outdoor,family-friendly,cultural,educational,food,games,health,sports
county family	educational, social, government, location
courage	empathy, determination, self-awareness, creativity, respectful, optimism, resilience
course work	flexible, online, interactive, educational, open-ended, structured, group, self-directed, collaborative
court appearance	flexible, public, legal, formal, historical, intimidating, organized
court martial	legal, formal, organized, government, military
court reporter	legal, written, spoken, professional
courtroom	flexible, public, formal, government, indoor
court tennis	flexible, outdoor, competitive, historic, sport
cover	flexible, protective, transparent, smooth, waterproof, decorative
cover artist	creative, artist, design, photograph, music
cover charge	free, cost, open, pay, event, security
cover crop	annual, beneficial, plant, sustainable, water
cover drive	flexible, open, fast, outdoor, large
cover girl	public,woman,model,cover,popularity,famous,glamorous,reputable,well-known,beauty
cover letter	formal, brief, persuasive, professional, informative
cover song	popular,original,music,style,genre
cover story	flexible, hidden, public, private, anonymous, secretive, creative, unique
cover version	multiple, original, modified, music, public
cox	flexible, lightweight, small, large
crack cocaine	flexible, illegal, stimulating, addictive, social
cracking	flexible, brittle, open, sharp, breaking, small, large
crash barrier	flexible, durable, movable, protective, lightweight
crash course	educational, online, short-term, interactive, comprehensive, self-paced, informative, flexible
crash diet	nutrition, weight, health, exercise
crash landing	flexible, sudden, dangerous, sudden
crash test	informative, physical, scientific, test, safety
crazy	flexible, unpredictable, emotional, irrational, creative
cream tea	light, traditional, delicious, refreshing, rich
creation science	flexible, scientific, research, educational, critical thinking, religious, debate, myth, myth, history
creative	flexible, original, unique, imaginative, problem-solving, artistic
creative writing	flexible, imaginative, written, expressive
credibility	trust, reliability, authenticity, reputation, accountability, consistency
credibility gap	flexible, objective, trustworthy, transparent, accountability, communication, reputation
credit crunch	flexible, financial, limited, short-term, long-term, international
credit limit	flexible, limit, credit, financial, monitor, personalized, fixed
credit line	flexible, limit, credit, available, open, personalized, secured, credit
credit rating	flexible, location, age, credit, financial, public
credit report	legal, financial, credit, personal, public
credit risk	flexible, risk management, financial, statistical, credit, analytics, assessment, data
credit score	flexible, public, personal, financial, reportable, predictive, credit, risk management, credit, score
creek bed	flexible, natural, water, shallow, steep, winding, narrow
crest	flexible, symbolic, heraldry, decorative, nature
crew cut	flexible, short, medium, simple, easy to use, maintenance
cricket ball	round, small, round, sport
cricket bat	lightweight, durable, handheld, sport, long-term, wooden
cricket field	flexible, outdoor, open, large, flat
cricket pitch	flexible, flat, circular, grass, outdoor, open
crime lord	flexible, influential, wealthy, intimidating, powerful
crime scene	flexible, outdoor, dangerous, restricted access, location
criminal law	legal, government, law, punishment, justice
criminal procedure	flexible, legal, lawful, formal, standardized, regulated, public
criminal record	flexible, public, legal, history, offensive, background, information, record, database, criminal
crisis center	flexible, accessible, temporary, community, medical, public
crisp	flexible, lightweight, fresh, crunchy, round, juicy, flavorful, soft
critical mass	flexible, measurable, scientific, diverse, mass, density
crop circle	flexible, circular, mysterious, geometric, large
cross examination	flexible, open-ended, formal, public, structured, collaborative, verbal communication, critical thinking, timely
cross section	flexible, geometric, measurement, lightweight, two-dimensional, 3D, rectangular, size
cross talk	flexible, public, random, verbal, communication, social
crowd	flexible, open, large, social, chaotic, dynamic
crowd control	flexible, scalable, temporary, outdoor, public, organized, technology
crown princess	gender, royalty, social status, education, tradition
crown prosecutor	legal, government, public, law
crude	flexible, raw, natural, rough, simple
cruise	fast, luxurious, recreational, relaxing, travel
cruise control	flexible, automatic, adjustable, adjustable, smooth, control
crunch	flexible, sharp, rough, chewy, compact, smooth
crunch time	flexible, fast, quick, time-sensitive, urgent, stressful
cry baby	flexible, emotional, attention-seeking, sensitive, irrational, soothing, gentle
crying	emotional, expressive, physical, social
crystal ball	flexible, transparent, magical, round, large
crystal radio	compact, portable, wireless, small, simple
cubic	flexible, measurable, three-dimensional, symmetrical, square, round, cubic, volume
cult classic	educational, timeless, classic, significant, influential
culture medium	flexible, nutritious, organic, public, social, transparent
culture minister	political, government, international, community, diversity
culture shock	flexible, diverse, complex, complex, unexpected, sensitive
culture war	flexible, complex, controversial, complex, political, historical
cunningham	flexible, intelligent, creative, strong
curb	flexible, hard, used for transportation, outdoor, decorative, heavy
curb appeal	flexible, outdoor, aesthetic, landscaping, color, maintenance
curfew	flexible, time, age, legal, restriction, enforced, public
currency risk	flexible, volatile, fluctuating, fixed, variable, limited, global
currency war	flexible, digital, international, standardized, limited, government, global
curry house	flexible, spacious, cultural, vegetarian, family-friendly, affordable
curtain	flexible, lightweight, movable, transparent, decorative, fabric, window, portable
curtain call	public, theatrical, entertainment, performance
custody	legal, physical, financial, emotional, child, joint, government
customary	flexible, regular, traditional, standard, consistent, unique
customer base	flexible, local, large, targeted, diverse
customer service	flexible, responsive, proactive, helpful, personalized, professional
cut line	flexible, linear, straight, sharp, clean, sharp
cut scene	fast, interactive, realistic, animated, short, 3D
cutting edge	flexible, modern, innovative, technology, trendy, efficient
cycle time	flexible, predictable, time-sensitive, limited, regular
cycling	flexible, outdoor, social, transportation, exercise
cylinder head	flexible, metal, round, lightweight, smooth
dad	flexible, love, supportive, caring, family
daily	flexible, regular, time-sensitive, consistent, repetitive, predictable
daily bread	flexible, nutritious, cultural, edible, baked, round
damage control	flexible, proactive, coordinated, preventative, teamwork, immediate, management
dame	flexible, intelligent, creative, nurturing, social, independent
dan	flexible, social, energetic, intelligent
dance floor	flexible, social, public, large
dance studio	flexible, social, community, indoor, fitness
dancing girl	emotional, graceful, joyful, elegant
danger area	flexible, restricted, protected, restricted, outdoor, restricted
danger zone	location, risk, restricted access, size, weather, outdoor, terrain
danish	flexible, delicious, creative, cultural, sweet
dare	flexible, confident, brave, risky, social
dark	flexible, transparent, cold, emotional
dark horse	flexible, fast, intelligent, mysterious, unique
darling	flexible, gentle, loving, soft, sweet
dash	flexible, fast, short, medium, long
data bank	secure, organized, digital, data, accessible, centralized, publicly accessible, large
data base	flexible, organized, scalable, secure
database administrator	flexible, problem-solving, communication, data analysis, technical
database model	flexible, scalable, distributed, secure, standardized, structured, modular, centralized, efficient
database transaction	flexible, atomic, secure, distributed, real-time, scalable, reliable
data cable	flexible, lightweight, digital, connects, connects, long-term, fast, durable
data center	scalable, secure, reliable, data storage, data analysis, cloud computing, power
data centre	scalable, secure, energy-efficient, reliable
data entry	flexible, automation, accuracy, software, data
data flow	continuous, sequential, automated, digital, real-time, circular, systematic, visual, organized, continuous
data management	scalability, security, data analysis, database, systematic, software, data
data mining	flexible, scalable, automated, data-driven, machine learning, statistical, predictive, web development, analytics, business
data model	flexible, scalable, standardized, modular, structured, organized
data point	flexible, measurable, digital, scalable, visual
data processing	fast, automated, digital, real-time, secure, scalable
data rate	fast, high, large, speed, wireless
data set	scalable, open-source, machine learning, structured, collects data, database, analytics, digital
data store	flexible, scalable, secure, centralized, organized, accessible, digital
data stream	flexible, continuous, real-time, automated, digital, scalable
data warehouse	scalable, secure, centralized, flexible, large
date night	flexible, social, romantic, fun
date palm	fruit, plant, tree
date rape	physical, non-judgmental, emotional, illegal, violent
dating	flexible, social, emotional, fun
daughter cell	flexible, portable, small, large
davenport	flexible, comfortable, lightweight, handheld, adjustable, historical
day job	flexible, full-time, part-time, job, work
day labor	flexible, part-time, temporary, outdoor, social
daylight	flexible, natural, light, time
day shift	flexible, part-time, regular, time-sensitive, nighttime, full-time, work
daytime	flexible, time, natural, outdoor, light
day time	flexible, lightweight, public, natural, time-sensitive, recurring, social
day trade	flexible, online, part-time, investment, short-term, risk management, trading, time-sensitive
day trader	flexible, fast, online, investment, trading, risk management
day trip	flexible, outdoor, short, leisure, transportation
dead	general, alive, permanent, immutable, permanent, permanent
dead end	flexible, one-of-a-kind, limited, narrow, circular, closed
dead horse	flexible, large, immobile, living, animal
deadline	flexible, time-sensitive, urgent, specific, real-time, deadline, time-based, due, limited, imminent, specific
deadlock	flexible, immutable, recursive, mutual, shared, temporary, circular, permanent, distributed
dead man	flexible, immobile, living, male, size
dead space	flexible, open, empty, public, underground, indoor, space
dead zone	flexible, location, limited, quiet, underground, wireless, outdoor, indoor, water
deaf	flexible, communication, visual, social
deal	flexible, fair, mutual, beneficial, trade, agreement, negotiation, risk
dear	flexible, intelligent, social, gentle
death bed	flexible, private, cultural, religious, social
death camp	educational, historical, location
death cap	flexible, poisonous, small, large
death certificate	flexible, official, legal, proof
death duty	flexible, legal, taxes, ethical, religious, taxes, duty, financial, lawful
death house	public, building, community, legal
death march	fast, forced, outdoor, organized, dangerous
death mask	real, cultural, decorative, scary, protective
death panel	medical, legal, ethical, government, decision-making, social
death penalty	legal, punishment, controversial, ethical, crime, public
death rate	annual, global, worldwide, statistics, trend, age, mortality, rate, number
death ray	flexible, destructive, harmful, invisible, lightweight, energy, powerful
death row	flexible, legal, punishment, incarceration, medical, public
death sentence	legal, punishment, life, final, irreversible, criminal, decision-making, sentencing, time, consequence, consequence, penalty, punishment
death spiral	rapid, cyclical, natural, circular, unpredictable, mathematical
death star	large, space, fictional, powerful
death tax	legal, tax, taxation, tax, taxes, inheritance, government
death toll	flexible, temporary, inevitable, quantifiable, public, universal
death warrant	flexible, legal, formal, official, permanent
death wish	flexible, inevitable, irreversible, temporary, emotional, inevitable, personal
debris field	large, small, scattered, diverse, natural
debt burden	flexible, legal, financial, risk
debt instrument	flexible, fixed, negotiable, tradable, standardized, long-term, liquidity, tax-exempt, short-term, investment, risk management
deceased	flexible, inanimate, living, dead, permanent, immutable, limited, timeless
decision tree	flexible, scalable, interactive, machine learning, data-driven, automated, tree
deck chair	flexible, lightweight, portable, outdoor, weather-resistant, adjustable, comfortable
deep	flexible, vast, mysterious, underground, vast
deep cover	flexible, secretive, underground, hidden, protective, stealthy, security
deep freeze	flexible, cold, food, temperature
deep sea	flexible, vast, underground, large
deep space	flexible, vast, dark, space, celestial, infinite
deep water	flexible, calm, transparent, natural
def	flexible, temporary, abstract, open, scalable, collective, social
default	flexible, automatic, standard, common, constant, universal
defense mechanism	flexible, automatic, psychological, protective, natural
defensive tackle	flexible, agile, fast, strong
defiance	flexible, resistant, independent, disobedient, willful, stubborn, strong
definitive	consistent, objective, clear, specific, specific
del	flexible, lightweight, soft, smooth, portable, versatile
delays	flexible, temporary, time-sensitive, predictable, consistent
delicate	light, soft, gentle, sensitive
delivery room	flexible, comfortable, medical, open
dell	flexible, computer, technology, hardware, software
delta connection	flexible, fast, reliable, scalable, secure
delta wing	flexible, fixed, aerodynamic, lightweight, stealthy, symmetric
demand note	flexible, negotiable, digital, secure, paper, financial
demise	flexible, permanent, limited, natural, temporary, negative
demographic	diverse, age, gender, age, race, ethnicity, geographic location, statistics, gender, age
demographics	flexible, diverse, geographical location, age, gender, ethnicity, statistics, size, gender, age
demolition	flexible, temporary, destructive, outdoor, dangerous
den	flexible, cooperative, social, enclosed, comfortable
denial	flexible, emotional, mental, social, irrational, persistent
departed	flexible, temporary, past, immortal, permanent, time-sensitive, timely, abstract, permanent
dependent	flexible, reliability, responsibility, support
deploy	flexible, scalable, automated, temporary, remote, real-time, secure
depth	flexible, vast, measurable, underground, water, vast
depth charge	flexible, underwater, explosive, large
deregulation	flexible, decentralization, competition, open, government, free, regulation, economic activity, market, business
desert island	flexible, isolated, scenic, small, sand
designated hitter	flexible, position, team, strategy, sport
designer baby	unique, genetics, ethical, medical, mental health, inheritance, healthy, DNA
designer drug	legal, illegal, controlled, synthetic, addictive, dangerous
desk	flexible, sturdy, adjustable, portable, work, size
desk job	flexible, job, office, work, sitting, chair, computer
destiny	flexible, predetermined, unpredictable, purposeful, spiritual, inevitable, irresistible, mysterious, timeless, universal
detention centre	flexible, secure, indoor, public
devil dog	flexible, fierce, loyal, powerful, intelligent
devon	location, country, dog, history, nature
dial	flexible, circular, round, rotates, small, portable
diamond ring	flexible, luxurious, valuable, sparkling, round
dick	flexible, social, intelligent, tall
dictionary attack	fast, online, organized, random, simple, unstructured, versatile
die	flexible, flat, round, sharp, heavy
died	flexible, temporary, permanent, singular, specific, timely, natural
diesel	flexible, powerful, efficient, fuel-efficient, reliable
difference engine	educational, historical, machine, mathematical, scientific
difference equation	flexible, mathematical, predictive, scalable, simple, time-based, complex
different	unique, various, distinct, multiple, distinctive, distinctive, distinctive, different
difficulty level	flexible, challenging, measurable, objective, standardized, quantifiable, scalable
dig	flexible, underground, hole, ground, hole, soil, animal, water
digging	flexible, underground, hole, soil, ground, hole, water
digital media	flexible, interactive, multimedia, global, online, visual
digital signal	fast, analog, wireless, data, real-time, signal, audio, video, transmission
digital television	flexible, interactive, high-quality, colorful, wireless, portable, streamable, audio
digital video	flexible, editable, dynamic, high-quality, interactive, multimedia, online, real-time, video
dilemma	flexible, complex, complex, difficult, complex, emotional
dining car	flexible, comfortable, indoor, public, private
dining facility	flexible, accessible, open, clean, multi-purpose
dining hall	flexible, communal, open, public, dining, indoor, clean
dining room	flexible, functional, spacious, well-lit, comfortable
dining table	flexible, multi-purpose, furniture, wooden
dinner jacket	flexible, lightweight, formal, two-piece, formal, sleek, stylish
dinner party	social, food, fun, formal
dinner plate	flexible, round, small, large
dinner table	flexible, social, adjustable, circular, square, round
dinner time	flexible, social, meal, time-sensitive, nutritious
dioxide	flexible, color, natural, liquid, non-toxic, poisonous, chemical
direct mail	personalized, targeted, physical, mail, automated, paper, digital
direct marketing	fast, personalized, targeted, interactive, paper, digital
dirty dancing	romantic, emotional, physical
dirty money	specific, illegal, large, small
disabled	flexible, mental, physical, social, wheelchair, mobility, medical
disagreement	flexible, complex, opposing, diverse, negative, complex
disambiguation	flexible, multiple, open-ended, contextual, complex, universal
disaster area	flexible, temporary, natural, public
disc drive	flexible, digital, portable, reads, stores data, rotates, accesses, circular, magnetic
disc golf	fun, outdoor, social, competitive, sport
disclose	flexible, open, private, public, transparent
discount rate	flexible, percentage, negotiable, taxes, fixed, time-sensitive, variable
disk drive	flexible, compact, rotates, magnetic, digital, storage capacity, speed
disk image	flexible, editable, digital, portable, reliable
dismissal	flexible, temporary, formal, automated, public, legal
dispatch	fast, efficient, reliable, automated, timely
display case	flexible, customizable, lightweight, portable, protective
dispute resolution	legal, mediate, alternative, negotiate, conflict, resolution
dissent	flexible, open, diverse, peaceful, respectful
dissolution	flexible, temporary, gradual, natural, sudden, legal, temporary
distance education	flexible, online, remote, self-paced, interactive, distance
distance formula	flexible, mathematical, measurable, simple, standardized, versatile
distribution channel	flexible, multiple, online, geographical location, open, sales, marketing, local
district attorney	legal, law enforcement, government, public, local
district heating	energy, centralized, efficient, environmentally friendly, heating, renewable energy sources, water
ditch	flexible, underground, wet, natural
dive	flexible, underground, outdoor, water
diversity	flexible, inclusive, flexible, multicultural, open, tolerance, unique
dividend	flexible, investment, regular, taxable, financial, investment, profit
divine right	flexible, religious, political, absolute, historical, mythical, power
division ring	flexible, round, geometric, mathematical, circular
divorce	legal, social, emotional, financial
dodge	flexible, agile, quick, fast, quick
dog collar	flexible, adjustable, durable, lightweight, waterproof, decorative
dog day	season, temperature, outdoor activities, warmth, social
dog fight	flexible, agile, social, intelligent
dog food	nutritious, packaging, dog, pet
dog house	size, living space, animal, small, large
dog meat	flexible, social, small, intelligent
dog tag	flexible, small, round, metal, wearable, collectible, personalized
dole	flexible, temporary, small, limited, publicly accessible, legal
dollar	flexible, standard, currency, measurement, small, large
dollar bill	flexible, paper, circular, standard, digital, size
dollar sign	flexible, symbol, currency, round, monetary, universal
dollar store	affordable, convenient, small, inexpensive
domain theory	scalability, decentralization, flexibility, distributed computing, security
domestic	flexible, cultural, social, small
domestic violence	emotional, physical, psychological, interpersonal, physical, societal
dominance	flexible, agile, powerful, intelligent, social
dominant	flexible, powerful, strong
donation	flexible, voluntary, anonymous, charitable, open, community
dong	flexible, musical, round, small
door	flexible, movable, solid, opening, hinges, entrance, entry, made of metal, automated, size
