disagreement	skepticism, unanimity, hesitation, division, opposition	difference in opinion, lack of consensus, conflict of views, reservation
iron	good conductor of heat and electricity, used in steel production, resistant to corrosion, magnetic, metal, malleable, dense, can be recycled	common in earth's crust
arctic	snowy, polar, northern, frozen, cold	icy, most remote, coldest, least populated
national anthem	symbol of national identity, can be a powerful symbol of unity	official song of a country, usually sung during public events, features lyrics about history or culture, often performed by a choir or soloist, can be a source of pride for citizens, may be played during sports events, may be different for each country
merck	research and development, corporate social responsibility, awards and recognition, leadership	pharmaceutical company, based in kenilworth, new jersey, founded in 1891, known for vaccines and medicines, global presence, acquired companies
pan	kitchen, cooking, fire, heat, metal, flat, food	non-stick, utensil
impacts	can be local or global, can be positive or negative, can be intentional or unintentional, can be temporary or permanent	causes changes to the environment, affects living things and their habitats, can be short-term or long-term, can be direct or indirect, can be mitigated or exacerbated
radar image	used in weather forecasting, can be used for military purposes, requires specialized equipment	2d or 3d representation, shows reflection of electromagnetic waves, can detect objects and their speed, has different types (e.g. doppler radar), can be used to track weather patterns, has applications in various fields (e.g. aviation, maritime), can be used to detect and monitor natural disasters
fidelity	devotion, dependability, trustworthiness, faithfulness, loyalty, commitment, stability, consistency	steadfastness
coffee bar	is a popular gathering place for locals and tourists, offers loyalty programs and discounts, has a convenient location and parking, offers food options such as pastries and sandwiches, provides a relaxing atmosphere for customers, serves coffee and other beverages	uses high-quality ingredients and equipment, offers a variety of brewing methods, has a welcoming and friendly staff, hosts events and live music performances
thinking	cognitive, rational, intellectual, mental, analytical, critical, logical, problem-solving, creative	
will power	decisiveness, self-control, determination, focus, goal-oriented, motivation, resilience, energy	persistence
bid price	auction, winner, currency, competition, amount, time	winning_bid, highest_bid, lowest_bid
military	maintains equipment and vehicles, uses strategy and tactics	trains soldiers in combat techniques, protects country from external threats, uses weapons and technology, follows hierarchical structure, involves discipline and teamwork, conducts operations in various environments, may engage in peacekeeping missions, undergoes training and drills
war machine	oppressive, weaponized, offensive, expensive, aggressive, deadly, destructive	militaristic, destabilizing
open system	self-organization, dynamic nature, ability to adapt, interconnectedness, transparency, accessibility	flow of information, interaction with environment, evolutionary processes, resilience to disturbances
working group	collaborative effort, skill-based, resource allocation, time-bound, goal-oriented, decision-making, accountability	expertise sharing, productive communication, consensus-driven
union job	protects against discrimination	covers multiple jobs, combines benefits and rights, provides job security, encourages collective bargaining, offers training and development, promotes work-life balance, supports diversity and inclusion, fosters teamwork and collaboration, enhances employee voice
plug	has a flat rectangular shape, transmits power	electrical device, uses socket, can be used for charging, can be inserted into a socket, is commonly used for charging devices, has a metal prong, is a standard size, can be found in many devices
hub	link, network, traffic, transfer, connection, information, communication	center, node
phrase	used, grammar, context, vocabulary, meaningful, common, emotive, expressive, cultural	
gender	gender identity, gender roles, binary	non-binary, genderqueer, agender, genderfluid, gender expression, third gender
technology	connectivity, advancement, interoperability, sustainability, efficiency, scalability, innovation, accessibility	user-friendliness
white knight	chivalrous, virtuous, honorable, unwavering, noble, courageous, heroic, selfless, protective	
fault	may be intentional or unintentional, can have long-term effects	negative impact on a system or person, caused by a mistake or failure, can lead to consequences or damage, can be rectified or recovered from, may be used to describe a person's behavior, may involve legal or ethical issues, can be used to describe a system's failure
risk tolerance	resilience in the face of failure, ability to learn from mistakes	ability to assess and manage risk, willingness to take calculated risks, tolerance for uncertainty and ambiguity, capacity to absorb losses, acceptance of potential outcomes, flexibility in decision-making, openness to new experiences
servant	helps, hardworking, compassionate, dedicated, patient, selfless, kind, loyal	obedient
lord	ceremonial role, hereditary position, title of nobility, fictional character, historical figure	rank in nobility, authority over territory, rights and privileges, influence in government
likelihood	odds, chance, probability	likelihood ratio, statistical significance, predictive power, confidence level, prior probability, posterior probability
warren	can be used to describe a place or location, can be found in various environments	a group of rabbits living together, usually in a burrow or underground nest, can include multiple males and females, may have a dominant male leading the group, may be hunted for their meat or fur, can be used as a metaphor for a group of people, can be used to describe a community or society
blood pressure	can be affected by age, sex, and body size, can be influenced by lifestyle factors	measures force of blood flow through blood vessels, can indicate overall health, can be abnormal in various conditions, can be measured using different methods, can be used to monitor treatment effectiveness, can be used to diagnose conditions, can be affected by underlying medical conditions, can be influenced by medications
phone call	can be made anonymously	involves two or more people, can be made through various mediums (e.g. landline, mobile, video), can be for various purposes (e.g. personal, business, emergency), can be made from anywhere with a connection, can be recorded or intercepted, can be made internationally, can be made through voice or video, can be made at any time, can be made for any duration
hang	requires proper safety precautions, may be illegal in some jurisdictions, may be used for recreational purposes, can be used for creative expression	hanging is a form of punishment, can be used for suicide prevention, can cause physical harm or death, has historical and cultural significance, requires proper equipment and setup
sea bird	has webbed feet, has a long tail, flies over water, has a distinctive call, can be found in different colors	can swim, found near coasts and oceans, can be a migratory bird, has a distinctive beak shape, can be a predator
love life	fulfillment, intimacy, happiness, emotional connection, trust, support, growth, communication	positive feelings
fortress	stronghold, walls, defensive, defense, protects, security	gates, towers, fortification
jake	appearance, background, relationships, personality, hobbies, interests, age, name, gender	
pay day	day of the week	typically falls on a specific day, occurs after a workweek, time frame for receiving pay, can be a fixed date or date range, can be affected by holidays or other factors, may be different for different employers, can be used to plan personal finances, can be a source of stress or excitement
website	visitable, online, user-friendly, information, interactive, accessible	viewable, retrievable, webpage
loading	progress, bandwidth, time, duration, speed	buffering, interruptibility, throttling, waiting
easy money	short-term, high risk	quick profit, little effort, high reward, luck-based, opportunistic, easy access, low skill, no experience
representative	elected, represents, group, decision, voice, government, representative	represent, constituents, vote
end	culmination, cessation, termination, inevitable, omnipresent, final, death, universal	cesspool
paper tape	can be used for organizing, adhesive, can be used for crafting, sticky, paper, removable, reusable, can be used for decoration	colors available, variety of widths
battling	tactics, determination, victory, skill, strength, strategy, endurance, teamwork, competition	
bay	home to marine life, body of water, provides shelter, shallow, narrow, small	formed by tectonic activity, can be a harbor, location for water sports
sectarian	historical conflict, political polarization, group identity, prejudice and discrimination, cultural differences	religious division, social discrimination, exclusionary practices, ideological separation
signing	expressing emotions, non-verbal communication	legal document authentication, identification of person, using body language, writing with hand, verifying identity, creating art, conveying messages
sun hat	available in various colors and styles, affordable price point, can be worn by both men and women	protects face and neck from sun, lightweight and breathable fabric, wide brim provides shade, can be worn with sunglasses, can be folded and stored easily, ideal for outdoor activities
route	means of transportation, mode of transportation	way of traveling, path taken, course or direction, journey or trip, travel itinerary, path of travel, course of travel
bowling	score, ball	pins, lane, strike, spare, bowling alley, roll, tournament, gutter
sedan	adjustable seats, air conditioning, 4-door, trunk, rear-wheel drive	leather seats, power windows, cd player, low fuel consumption
red maple	is a popular ornamental tree, native to north america, has a long lifespan	deciduous tree, leaves turn red in fall, can grow up to 100 ft tall, has a distinctive palmate shape, produces red samaras, blooms in late spring, can tolerate poor soil conditions
black light	used in forensic science, can be used to detect drugs	emits ultraviolet light, can detect latent fingerprints, requires uv-a leds, not to be confused with uv-c, can be used to detect blood, can be used to detect stains, can be used to detect dna
road train	slow, heavy, used for transportation, long, large	travels on roads, carries cargo, multi-vehicle, common in australia
due	pronunciation, example_sentence, origin, usage, related_concepts, synonyms, meaning, definition	
aunt	may be involved in family decisions, female	related to niece or nephew, sister of mother or father, married or in a long-term relationship, may provide childcare or emotional support, may be a trusted confidant, may be a source of advice or guidance, may be a source of pride or joy, may be a link between generations
police officer	patrol car, enforce laws, gun, maintain order, uniform	badge, protect and serve, respect citizens, de-escalate conflicts, arrest criminals
mass funeral	cultural and religious significance, legal and ethical considerations	emotional impact on families and communities, economic burden on families and society, risk of disease transmission, potential for social unrest, role of funeral homes and professionals, psychological impact on mourners, impact on mental health services, media coverage and public attention
auto	advanced safety features, real-time traffic updates, fuel efficiency, spacious interior	self-driving technology, electric or hybrid powertrain, automated driving modes, advanced infotainment system, luxury interior options, autonomous driving capabilities
radiation	dosage, sources, effects, hazardous, measurement, energetic, protection, types	ionizing
ear canal	can be affected by age, can be affected by health conditions	carries sound from outer ear to inner ear, protects inner ear from loud noises, connected to eardrum, helps regulate pressure, houses earwax, shapes the sound of voice, size can affect hearing, can be affected by noise exposure
tissue paper	absorbs liquids, comes in different sizes, can be recycled	soft and thin, used for wiping, made from wood pulp, used for hygiene, gentle on skin, can be scented, used for tissue damage
cooking oil	high in unsaturated fats, may cause allergic reactions in some individuals, type:	vegetable or animal-based, use:, frying, sautéing, baking, health benefits:, shelf life:, lowers cholesterol, improves heart health, 1-2 years if stored properly, temperature range:, flavor:, 325°f - 400°f (165°c - 200°c), smoke point:, 325°f (165°c), nutritional value:, neutral or mild, sustainability:, allergenic potential:, may be produced from renewable sources
test bench	can be scaled up or down depending on need, provides a controlled environment, can be customized for specific needs	allows for simulated testing, can be used for safety testing, can be used for a wide range of applications, can be automated for efficiency, can be designed for specific industries, can be used for both hardware and software testing
integrated circuit	lower production costs	contains transistors, comprises multiple layers, miniaturized electronic components, manufactured using photolithography, increased circuit density, higher performance, smaller size, greater reliability, flexibility in design
cabinet	advises the head of state, represents the government in international affairs	a group of government officials, responsible for making decisions, composed of senior government officials, accountable to the legislature, acts as a buffer between the government and the public, makes decisions on policy and governance, provides a platform for consensus building
theme park	shows, games, attractions, themes, atmosphere, entertainment, food, safety, fun	rides
twist	spin, wind	turn, rotate, twirl, whirl, coil, spiral, corkscrew
sail	harness, voyage, traction, rigging, watercraft, sailing, sailplanes	batten, sheet
principal	autonomy, inclusivity, diversity, accountability, leadership, definition:	key role in educational institutions, authority and responsibility, decision-making power
attorney general	enforces federal laws, represents the state in legal proceedings	represents the federal government in legal matters, prosecutes federal crimes, represents the state in federal court, advises the president on legal matters, represents the state in international legal matters, protects the rights of citizens, conducts investigations and audits, advises the governor on legal matters
language code	spoken, dialects, grammar, vocabulary, written, history	alpha-betic, lexicon, scripts
praise	sincere, heartfelt, appreciation, gratitude, recognition, encouraging, positive	affirmation, compliment
chocolate bar	not a living thing, rich, creamy, flavorful, sweet	melts in mouth, contains cocoa solids, wrapped in foil, texture varies, may contain nuts
put	can be used in various programming languages, has a wide range of applications	method for storing data in a database or file, used for updating or modifying data, supports transactions and consistency, can be used for data retrieval, can be used for data manipulation, has a specific syntax and semantics, supports data types and constraints, can be used for data validation
jack russell	affectionate, active, energetic, playful, loyal, curious, intelligent	small breed, trained easily, good with children
stairs	can be found in different shapes and sizes, can be used for different purposes, can be made of various materials	has steps, goes up or down, has a railing, can be found in buildings, can be used for access or decoration, can be designed for safety or aesthetics
fellowship	common goals, solidarity, altruism, cooperation, community, support, collaboration	friendship, bonding
hope	expectation of good outcomes, patience and perseverance, optimism, positive outlook, resilience	desire for a better future, faith in oneself and others, inspiration for action, comfort in difficult times
dinner jacket	formal attire	worn for evening events, usually black or white, made of luxurious fabrics, worn with a bow tie or necktie, can be worn with a vest or cummerbund, often seen at formal dinners or galas, traditionally worn by men, can be custom-made or purchased off the rack
bottle opener	typically made of metal or plastic, can be manual or automatic, comes in various sizes and shapes	used to open bottles, has a flat edge or prongs, designed for grip and leverage, may have a handle or be handheld, can be used for other tasks like can opening, can be found in many household and outdoor settings, can be made of different materials like stainless steel or silicone
track bike	designed for speed, rear-wheel drive, lightweight, fast	bike-specific tires, manual gear shifting, pedals for clipless shoes, low-profile frame, may include aerodynamic features, typically used on a track or oval circuit
indicator	can be used to make predictions or forecasts, can be used to compare or contrast different things	measures or indicates something, can be used to show progress or status, is often used in monitoring or evaluation, can be visual, auditory, or tactile, can be used to communicate complex information, can be used to identify patterns or trends, can be used to evaluate or assess something
utility	multipurpose, time-saving, benefit, convenience, efficiency, customizable, sustainable	usefulness, cost-effectiveness
top gun	dangerous stunts, aerial combat, military training, advanced technology, cult following	air superiority, fighter jets, high-speed chases, elite pilots, famous movie
power station	has a cooling system, generates electricity, requires maintenance	uses fuel sources, produces greenhouse gas emissions, distributes electricity, uses transformers, has a control room, uses sensors and monitoring systems, can be used for peaking power
music chart	can be created by hand or with software	represents musical composition, visual representation of song, used for musicians to play together, can be used to notate different instruments, can be used to learn new songs, can be used to teach music theory, can be used in different genres of music, can be used in different settings, such as concerts or practice rooms
counter intelligence	can be used for both offensive and defensive purposes	involves gathering information to detect and counter threats, uses various methods to gather intelligence, requires careful analysis and interpretation of information, can involve human intelligence, signals intelligence, and other forms of intelligence, can be conducted by governments, organizations, and individuals, can be used to protect against espionage, sabotage, and other forms of attack, requires a deep understanding of the threat and the tactics being used, can be used to disrupt and defeat enemy operations, can be used to gain a strategic advantage over an adversary
audio commentary	can be used to create a sense of community	provides additional information, can be used to enhance understanding, can be used to add context, can be used to provide critique or analysis, can be used to share personal opinions, can be used to provide accessibility, can be used to create a sense of intimacy, can be used to create a sense of drama, can be used to create a sense of tension
policy maker	evaluates impact, collaborates with others, makes decisions	sets priorities, aligns with laws, considers stakeholders, makes trade-offs, communicates decisions, revises policies
whole food	locally sourced, variety of options, nourishing, organic, fresh	no artificial flavors, no genetically modified ingredients, no added preservatives, low in processed ingredients
metro	station, transit, city, rapid, train, mass, public, underground, transportation	subway
air rifle	uses compressed air as propellant	typically fires pellets or bbs, less powerful than firearm rifles, often used for hunting small game, can be quieter than firearm rifles, may be less accurate than firearm rifles, requires frequent filling of compressed air, can be more portable than firearm rifles, typically has a lower price point than firearm rifles, may be more suitable for beginners
sympathy	non-judgmental acceptance, compassion, emotional support, emotional connection, understanding, empathy	shared feelings, empathetic listening, willingness to help
good time	sense of purpose, positive emotions	enjoyable experiences, quality time with others, sense of well-being, lack of stress or anxiety, meaningful connections, opportunities for growth, personal fulfillment
setback	can be caused by various factors	defined as a negative outcome, may lead to feelings of disappointment, can impact motivation and progress, may require reevaluation and adjustment, may lead to increased resilience, can be an opportunity for growth, can be a chance for reflection and learning, may help to identify and address underlying issues, can lead to increased self-awareness
baby step	cute, innocent, exploratory, dependent, gentle, new, playful, curious, small	helpless
trailer park	rural location, low-income residents	mobile homes, amenities limited, stereotypes and stigma, tight-knit community, government assistance, lack of property value, residents with limited means
house music	electronic instrumentation, originated in the 1980s, upbeat tempo	synthesized sounds, danceable rhythms, energetic and lively, vocal or instrumental melodies, often played in clubs or at parties, influenced by disco and funk, characterized by a strong beat
marine infantry	high level of physical fitness	trained for amphibious warfare, expertise in assault operations, ability to operate in harsh environments, capable of conducting direct action, knowledge of naval tactics and procedures, ability to operate in small boats and ships, ability to communicate and coordinate with other units, experience in conducting reconnaissance and intelligence gathering, ability to operate in a team and as part of a larger force
informant	provides information, shares knowledge	offers insights, gives feedback, discloses secrets, reports observations, reveals details, uncovers facts, exposes truths
haunted house	scary, frightening, paranormal, ghostly, eerie, spiritual, supernatural, mysterious	creepy
pay	remuneration, earnings, compensation, salary, wages, reward, payment, money, income	
car battery	chemistry, lifespan, voltage, capacity, type	ampere-hours, connector type, terminal type, cold weather performance, overcharging protection
police	maintain order, enforce laws, build relationships	protect citizens, investigate crimes, use force wisely, respond to emergencies, follow protocols, serve communities
bristol	popular tourist destination	city located in south west england, historic port city, home to bristol cathedral, birthplace of the bristol accent, university city, location of the clifton suspension bridge, hosted the bristol international balloon fiesta, known for its street art and graffiti, hub for the creative industry
leone	legendary status, cultural icon, historical figure	italian film director, actor and producer, king of sicily, mafia figure, businessman, philanthropist, awards winner
adult	parent, educated, responsible, independent	legally considered an adult, capable of making decisions, employed, financially stable, married (or in a long-term relationship), eligible to vote
educator	instructs, enlightens, nurtures, empowers, inspires, teaches, guides, motivates	transforms
rift	tear, divide, gap, displacement, void, separate, space, distance	
tone scale	used in various contexts	ranges from deep to high-pitched, includes various intensities, can convey different emotions, can be culturally relative, can be used to create irony or sarcasm, can be used to communicate nuanced emotions, can be used to convey different attitudes, can be used to create a sense of drama or tension
trade	can be formal or informal	exchange of goods or services, voluntary and mutually beneficial, can take place within or between countries, involves buying and selling, can be influenced by market forces, can have economic, social, and political implications, can involve bartering or using currency, can take place in various forms such as international trade, domestic trade, and e-commerce
sea bass	grayish-brown, slimy, saltwater, fish, freshwater, marine, tasty, food, small	
session	can be used for real-time communication, can be accessed through various devices, can be used for various purposes	starts with user interaction, has a defined duration, is bound to a particular context, can be recorded and replayed, can be customized with plugins, can be secured with authentication and authorization, can be monitored and analyzed
box seat	enclosure, view, seats, price, availability, comfort, design, accessibility, location	
element	can be found in nature, indivisible	atomic, makes up a compound, has a fixed number of protons, electrically neutral, has a defined position in the periodic table, cannot be created or destroyed, can undergo chemical reactions
lung	filters air	respiratory organ, produces oxygen, located in chest cavity, breathes in oxygen, supplies oxygen to body, breathes out carbon dioxide, removes carbon dioxide from body, supports breathing, made up of lobes
leave	sickness, time off from work, holiday, vacation	recess, break, personal days, annual leave, unpaid time off
subscriber	has a unique identifier	has a subscription, pays for the subscription, receives content, can cancel subscription, can change their mind, has a billing address, can access content offline, has a preferred device
space station	orbits around earth, life support systems, scientific research, maneuverability	habitable environment, astronaut living quarters, communication with earth, radiation protection, fire safety, thermal control
insurgent	revolutionary, rebellious, non-conformist, anti-establishment, resistant, radical, violent	militant, insurgent
rocket car	has a streamlined body, can reach high altitudes, uses rocket propulsion, can reach high speeds	speeds faster than sound, typically has retractable wheels, can be steered, can be powered by liquid fuel, can be used for space travel, typically has a large payload capacity
bad seed	unproductive, unwelcome, unsuccessful, unfortunate, unwanted	unfruitful, unprofitable, unuseful, unhelpful
aviation	air traffic control, flight	airplanes, pilots, airports, jet engines, airline industry, flight attendants, aviation technology
salt flat	may have cultural or historical significance	low-lying area with salt deposits, formed through evaporation of saltwater lakes, characterized by flat, barren landscape, lacks vegetation due to salt toxicity, supports limited microbial life, can be found in arid regions, prone to erosion and salt accumulation, may contain underground salt deposits, can be used for salt mining
upheaval	economic instability	sudden or violent change, unrest or turmoil, disruption of social order, natural disasters, political or social upheaval, humanitarian crises, environmental disasters, technological failures, societal shifts
marriage	a legally recognized union between two people	a social and cultural institution, a commitment to share life together, a source of emotional and financial support, a way to form a family, a complex and multifaceted institution, a protected right in many countries, a symbol of love and commitment, a way to create a shared identity, a way to build a life together
first lieutenant	military officer, promotion, career, command, rank, experience, training, respect, authority, leadership	
total	additive, uniform, widespread, quantifiable, comprehensive, versatile, inclusive	value-based, summarizable
price stability	financial stability, economic growth	low inflation rate, stable exchange rates, low price volatility, predictable price movements, stable consumer purchasing power, low cost of living, low unemployment rate
ice	dissolves in water, has a high latent heat of fusion, reflects light, can be used for cooling, fragile, cold	slippery, melts, expands when frozen
community service	social responsibility, volunteering, giving back, social impact, charity, community involvement, altruism	helping those in need, service to others
refugee	integration, employment, shelter, health, rights, education, protection, food, definition	legal_status
transaction	can be online or offline, can be monetary or non-monetary, can involve multiple parties, can be reversible or irreversible	involves exchange of value, has a sender and a receiver, can be disputed or resolved, can be recorded in a ledger, can have different delivery methods, can have different payment methods
post	mailable, carrier, deliverable, postage, address, weight, size, location	sendable
landscape	changing, geographical, varied, visual, historic, beautiful, diverse, natural, cultural	
surrounding	encompasses, encloses, includes, shields, covers, supports, protects	surrounds, encircles, surrounds without touching
sea change	impacts coastal communities	significant change in the ocean, cause by climate change, affects marine ecosystems, related to rising sea levels, affects wildlife habitats, causes flooding and erosion, important for ocean conservation, requires adaptive measures
venus	no moons, planet	second planet from the sun, brightest planet in the night sky, similar to earth in size and mass, rotates very slowly, closest planet to earth, has thick atmosphere, visible to naked eye
office wall	aesthetics, functionality, maintenance, texture, sustainability, design, material, color, size, location	
sea spider	largest, carnivorous, slow-moving, marine, length	8-legged, spider, arachnid, up-to, 10 cm
entrepreneur	takes risks, adapts to change, financial management, leads team, strategic thinking, networking, makes decisions, innovative	creates new businesses
wireless	internet access, mobile devices, long range, low power consumption, portable	radio waves, no wires, bluetooth, wi-fi, high speed data transfer
exploring	self-discovery, discovery, learning, experience, personal growth, exploration, adventure, travel, growth	
primary	core, first, central, original, foundational, key, base, important, essential	
town hall	landmarks, events, demographics, governance, services, amenities, culture, history, location	
seashore	oceanfront, tidal, sunny, sandy, coastal, warm, beautiful, quiet, natural	
banking	money management, security and privacy, financial services, investment opportunities, customer service, interest rates, risk management	savings and loans, financial regulation, digital banking
airfield	control tower, runways, air traffic control, parking, lighting, security	taxiways, aprons, terminal building, fueling
suburb	neighborhoods, schools, houses, diversity, community, safety, accessibility	streets, parks, shops
tentative	speculative, tentative, pending, provisional, provisional, indeterminate, pending, uncertain, temporary	
vitamin a	important for fetal development, essential nutrient, boosts immune system	important for vision, promotes healthy skin, may reduce risk of certain cancers, can prevent night blindness, found in dairy products, also found in leafy greens
work experience	references, job responsibilities, job title, location	length of time worked, industry or field, skills developed, education or training, employer, work culture
dictionary	organized alphabetically	contains words, defines words, stores word meanings, provides spellings, allows for word lookups, includes synonyms, uses a specific writing system, can be used for translation, can be used for language learning
gong show	comedy, theatrical, talent, rewards, judges, musical, audience, performance, entertainment	punishments
bulletin	news, update, broadcast, announcement, official, written, informative	published, notification
seed coat	nourishes, non-living, protects	helps germination, waterproofs, unique to each plant, outermost layer, important for survival, plays role in dispersal, varies in thickness
pace	step, gait, stride, tempo, rhythm, movement, speed	march, rate
emergency	urgent, first aid, rescue, unforeseen, life-threatening, sudden, critical, dangerous	emergency services
motivation	theories: maslow's hierarchy of needs, self-determination theory, types: intrinsic, extrinsic, internal, external	definition: the driving force behind action or behavior, components: goals, values, emotions, beliefs, applications: education, workplace, sports, personal growth, factors: rewards, punishments, social norms, personal interests, challenges: lack of motivation, motivational blindness, external factors, strategies: goal setting, positive reinforcement, self-efficacy, mindfulness, measurement: motivation scales, self-report questionnaires, behavioral observations
nerve center	nerve center, strategic location, control room	control center, command hub, brain, decision-making center, intel hub, command post
job action	employee, resource, deadline, supervisor, workplace, goal, performance, skill, action, training	
space race	cosmos, apollo 11, galaxy, moon landing, space exploration, astronauts	sputnik, international space station, rocket technology, race between usa and ussr
cross country	terrain, rewards, routes, challenges, weather, transportation, distance, time	travelers
conservative	limited government intervention, personal responsibility, traditional values, individual freedom, political ideology	fiscally responsible, low taxes, free market, limited social programs, traditional social norms
gift certificate	can be transferred to another person	can be used to purchase items from a specific store or business, can be redeemed in exchange for cash or merchandise, usually issued by a business as a promotional tool, can be purchased for a specific amount or as a gift, may have expiration dates or other restrictions, can be used online or in-store, may have additional fees for purchase or use, can be used for a variety of purchases, such as food, clothing, or entertainment, can be redeemed at multiple locations or businesses
row house	single-story, detached	no basement, same height, one or two bedrooms, gable roof, one or two bathrooms, living room and kitchen, no garage
diplomacy	interest representation, peaceful resolution, negotiation, compromise, conflict resolution, mutual understanding, cooperation, communication	trust building
borrowing	lending, loans, repayment, credit, collateral, interest, risk, security	returns
computer virus	can have serious consequences	malicious software, infects computer systems, causes damage or disruption, spreads through network, can steal sensitive data, can cause system crashes, can be used for cybercrime, can be difficult to remove
wave	travels through space, transfers energy, period, wavelength, speed	amplitude varies, has frequency, interferes with other waves, can be visualized
municipal	incorporated city or town, local government, provides public services, taxation	governed by local authorities, municipal services, municipal elections, municipal code, public works, zoning regulations
mass transit	promotes social interaction, increases mobility, reduces traffic congestion, improves quality of life, reduces greenhouse gas emissions	carries large numbers of people, provides affordable transportation, increases access to employment, reduces air pollution
space travel	exploring new worlds	traveling through space, astronauts and cosmonauts, spacecraft and stations, gravity and zero gravity, spacewalk and extravehicular activity, microgravity and weightlessness, asteroids, planets, and stars, interstellar travel and the cosmos
polar star	north, south, high, solar, astral, low, fixed	noon, midnight
heal	mend, fix, cure, restore	treat, relieve_pain, heal_wounds, recover, promote_healing
bread	baking, yeast, slicing, food	carbohydrates, gluten, toasting, kneading, jamming, buttering
color	purple, gray, pink, orange, brown, yellow, blue, red, green	
cole	botany, zoology, related words, noun	pronunciation /ˈkoʊl/, definition plant with a hard, fibrous stem, example tree, synonyms hawthorn, blackthorn, ornithology
dragon	scaled, not real, fire-breathing, unreal, winged, legendary, imaginary, mythical	fearsome, creatures of fantasy
corner	can be found in various shapes and sizes	location at the intersection of two surfaces, formed by the meeting of two edges, provides a point of intersection for lines, can be a point of reference for orientation, can be a point of strength in a structure, can be a point of weakness in a structure, can be used as a reference point for measurements, can be used as a reference point for calculations
wait	delay, stop, hold	pause, standby, anticipate, hesitate, look forward, expect
baby book	illustrated, personalized, interactive, colorful	softcover, snugly fits in a diaper bag, giftable, baby-focused, inspires a love for reading, encourages early literacy skills
bug	multi-legged, can communicate, can fly, insect, small	insectivorous, can camouflage, can crawl, can jump
industrial	energy consumption, automation, manufacturing, safety measures, environmental impact, innovation	machine tools, waste production, workplace health
telling	articulate, verbal, audible, concise, engaging, communicative, clear, expressive, informative	
charitable organization	advocates for social justice	provides aid to those in need, raises funds for good causes, promotes social welfare, fosters community involvement, supports disaster relief efforts, offers financial assistance, partners with other organizations, operates transparently, maintains accountability
maybe	probable, possibility, likelihood, ambiguous, indeterminate, chance, uncertainty, uncertain, unpredictability	
product	commercial purpose, can be digital or physical	goods or services, for sale or trade, exchange for value, manufactured or produced, branded or marketed, distributed or delivered, targets consumer or business
doping	can have long-term effects on health, can be difficult to detect	illegal use of performance-enhancing drugs, violation of athletic competition rules, can lead to serious health consequences, can result in severe penalties for athletes, can undermine the integrity of sports, causes an unfair advantage, can lead to a lifetime ban from sports
pitch	pitch perception, frequency range	audio waveform, human perception, pitch memory, pitch discrimination, pitch illusion, pitch and emotion, pitch and language
bang	damage, destruction, noise, sudden, powerful, violent	loud sound, shockwave, explosion
delta connection	improves system performance, can be used for various applications	transfer data between two systems, facilitates communication and coordination, enables real-time updates, reduces latency and errors, allows for more efficient data transfer, increases scalability and reliability, supports multiple protocols and standards
blood sample	can be used for research	contains red blood cells, contains white blood cells, contains platelets, has a specific gravity, can be used for blood typing, can be used for disease diagnosis, can be used for drug testing, can be used for blood transfusions, can be used for paternity testing
sex therapy	can be done in-person or remotely	aims to improve sexual function and satisfaction, focused on addressing psychological and emotional factors, involves communication and mutual consent, can help with sexual dysfunction and trauma, may involve solo or partnered activities, can be conducted by a therapist or coach, may involve education on anatomy and sexual health, can help improve relationships and overall well-being
warrant	authorizes action, limited duration, specific purpose, issued by authority, probable cause, legal document, enforceable	reasonable suspicion, evidence-based
democracy	protection of individual rights, citizen participation, rule of law, checks and balances, transparency, accountability	equal rights, free and fair elections, representative government
five	a quantity, a number	equal to 5, a count, a quantity of 5 items, a measurement
riot gear	can be used for crowd control, can be used in various weather conditions, made of durable materials, can be customized for specific needs	protects wearer from physical harm, designed for mobility, can be used to protect against chemical agents, provides visibility in dark environments, typically worn by law enforcement and military, may be used to intimidate or threaten others
mild	moderate, unobtrusive, mellow, pleasant, soothing, gentle, calm	placating, unaggressive
sum	associative, inverse, additive, identity, negative, scalable, positive	commutative, distributive
deal	transaction, offer, exchange, trade, compromise, settlement, agreement	bargain, contract
rose water	nourishing, cooling, aromatic, hydrating, soothing	antibacterial, antifungal, moisturizing, sweet-smelling
tape measure	can be used for measuring curves, can be used for measuring angles, comes in different sizes	measures distances and lengths, made of flexible plastic or metal, has a scale marked on it, can be used for measuring rooms, can be used for measuring objects, can be used for measuring irregular shapes
fall	trees, leaves, colors, wet, weather, change, nature, seasonal, cold, temperature	
girl power	empowerment, equality, confidence, voice, resistance, resilience, creativity	self-love, sisterhood
input device	can be used for various tasks	accepts user input, converts input to digital signal, transmits input to device or system, provides user feedback, varies in form and function, can be tactile, visual, or auditory, may be separate or integrated with device, requires user interaction, can be wireless or wired
bridge	can be used for environmental monitoring, can be used for military purposes, can be used for construction, can be used for recreation, can be used for scientific research, can be used for transportation	spans water or land, supports traffic, has supports, can be built different ways
beauty queen	intelligence and wit, interpersonal skills, physical attractiveness	grace and poise, confidence and self-assurance, fashion sense, kindness and compassion, pageant experience, public speaking skills, cultural competence
johnny	physical appearance, personality, nationality, hobbies, interests, occupation, age, name, gender	
market economy	voluntary exchange, price mechanism, resource allocation, efficiency, competition	law of supply and demand, incentives for production, consumer sovereignty, producer freedom, government intervention limited
